2014-08-11 17:55:42,778 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - OnStopRequested: serverid=df618768-538b-4d8e-8d14-31bf7186fda9
2014-08-11 17:55:42,782 [1] INFO  Photon.SocketServer.ApplicationBase [(null)] - Application is stopping: AppId=Game1
2014-08-11 17:55:42,799 [4] INFO  Photon.LoadBalancing.GameServer.OutgoingMasterServerPeer [(null)] - connection to master closed (id=6, reason=ManagedDisconnect, detail=), serverId=df618768-538b-4d8e-8d14-31bf7186fda9
2014-08-11 17:55:42,843 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - TearDown: serverId=df618768-538b-4d8e-8d14-31bf7186fda9
2014-08-11 17:55:42,844 [1] INFO  Photon.SocketServer.ApplicationBase [(null)] - Application stop: AppId=Game1
2014-08-11 18:00:31,797 [1] INFO  Photon.LoadBalancing.GameServer.GameApplication [(null)] - Setup: serverId=3c6c14b6-1e72-49eb-a8c4-bfaf9cc009cc
2014-08-11 18:00:33,038 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter Business Logic Queue
2014-08-11 18:00:33,039 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter ENet Queue
2014-08-11 18:00:33,040 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter bytes in/sec
2014-08-11 18:00:33,040 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter bytes out/sec
2014-08-11 18:00:33,041 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter ENet Threads Processing
2014-08-11 18:00:33,042 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter ENet Threads Active
2014-08-11 18:00:33,043 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter Time Spent In Server: In (ms)
2014-08-11 18:00:33,043 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter Time Spent In Server: Out (ms)
2014-08-11 18:00:33,044 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter TCP: Disconnected Peers +/sec
2014-08-11 18:00:33,045 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter TCP: Disconnected Peers (C) +/sec
2014-08-11 18:00:33,045 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter TCP: Peers
2014-08-11 18:00:33,046 [1] WARN  Photon.LoadBalancing.LoadShedding.WorkloadController [(null)] - Did not find counter UDP: Disconnected Peers +/sec
